Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Bradley Beal,2024-10-23,38,24,3,1,1,1.0,0.667,0.667,0.845,19.4,6.1,2,0.8,135.0,106.0,19.3,1,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.667,0.667,0.8,19.4,135.0,106.0,19.3,0.0
Bradley Beal,2024-10-25,35,15,1,9,2,1.0,0.429,0.5,0.536,20.4,0.8,2,0.0,112.0,123.0,13.3,2,0,1,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.5,2.0,0.548,0.5835,0.4,19.9,123.5,114.5,16.3,1.02641
Bradley Beal,2024-10-26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,1,1,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,3.333333333333333,1.0,1.3333333333333333,0.3653333333333333,0.389,0.2666666666666666,13.266666666666666,82.33333333333333,76.33333333333333,10.866666666666667,1.03649
Bradley Beal,2024-10-28,35,15,3,4,2,1.0,0.429,0.143,0.504,20.2,-1.1,1,1.0,107.0,108.0,11.4,4,1,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,3.5,1.25,1.25,0.38125,0.3275,0.45,15.0,88.5,84.25,11.0,1.16367
Bradley Beal,2024-10-31,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,0,1,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.8,1.0,1.0,0.305,0.262,0.36,12.0,70.8,67.4,8.8,1.06936
Bradley Beal,2024-11-02,34,15,7,4,1,1.0,0.385,0.375,0.508,17.9,2.7,0,0.5,115.0,95.0,13.7,6,1,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,3.0,1.0,0.8333333333333334,0.3183333333333333,0.2808333333333333,0.3833333333333333,12.983333333333333,78.16666666666667,72.0,9.616666666666667,1.31257
Bradley Beal,2024-11-04,34,17,5,3,2,0.0,0.7,0.6,0.85,15.8,4.8,2,0.0,138.0,116.0,15.6,7,1,1,12.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,3.0,1.1428571428571428,1.0,0.3728571428571428,0.3264285714285714,0.3285714285714285,13.385714285714284,86.71428571428571,78.28571428571429,10.471428571428572,1.19532
Bradley Beal,2024-11-06,32,7,2,3,2,2.0,0.333,0.25,0.389,14.0,-4.0,1,0.0,95.0,115.0,5.8,8,1,1,11.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625,3.0,1.25,1.0,0.367875,0.316875,0.2875,13.4625,87.75,82.875,9.8875,1.11909
Bradley Beal,2024-11-08,36,15,4,3,0,0.0,0.353,0.143,0.419,24.2,-9.9,1,1.0,100.0,131.0,7.4,9,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,3.0,1.1111111111111112,1.0,0.3662222222222222,0.2975555555555556,0.3666666666666666,14.655555555555557,89.11111111111111,88.22222222222223,9.61111111111111,0.921359
Bradley Beal,2024-11-10,38,28,8,2,1,1.0,0.5,0.3,0.638,25.8,4.4,1,0.778,125.0,111.0,22.7,10,1,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.3,2.9,1.1,1.0,0.3796,0.2977999999999999,0.4078,15.77,92.7,90.5,10.92,1.07362
Bradley Beal,2024-11-12,29,24,3,4,2,1.0,0.533,0.571,0.716,29.0,7.4,2,1.0,139.0,116.0,19.9,11,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.3,3.2,1.2,1.0,0.3662,0.2882,0.4278,16.729999999999997,93.1,91.5,10.98,1.02017
Bradley Beal,2024-11-13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,0,1,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2,2.3,1.0,0.8,0.3233,0.2381999999999999,0.4278,14.689999999999998,81.9,79.2,9.65,1.18322
Bradley Beal,2024-11-15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13,0,1,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.3,1.0,0.8,0.3233,0.2381999999999999,0.4278,14.689999999999998,81.9,79.2,9.65,0.904071
Bradley Beal,2024-11-17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14,0,1,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.9,0.8,0.7,0.2804,0.2239,0.3278,12.669999999999998,71.2,68.4,8.51,1.16076
Bradley Beal,2024-11-18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,1,1,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.9,0.8,0.7,0.2804,0.2239,0.3278,12.669999999999998,71.2,68.4,8.51,0.908011
Bradley Beal,2024-11-20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,1,1,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.5,0.7,0.7,0.2419,0.1863999999999999,0.2778,10.88,59.7,58.9,7.139999999999999,1.08844
Bradley Beal,2024-11-26,27,23,2,2,0,1.0,0.667,0.5,0.767,28.1,3.5,3,0.0,118.0,104.0,15.0,17,1,1,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.4,0.5,0.8,0.2386,0.1763999999999999,0.2778,12.11,57.7,57.7,7.08,1.24099
Bradley Beal,2024-11-27,27,17,3,0,0,0.0,0.571,0.5,0.607,26.6,-9.3,2,0.0,94.0,131.0,8.5,18,1,1,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.1,0.3,0.9,0.2624,0.2013999999999999,0.2778,13.37,57.6,59.3,7.35,1.16888
Bradley Beal,2024-11-30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,1,1,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.8,0.3,0.8,0.2271,0.1871,0.1778,10.95,47.6,46.2,6.609999999999999,1.00322
Bradley Beal,2024-12-03,31,10,9,4,1,0.0,0.375,0.333,0.512,19.6,-4.5,3,0.75,88.0,90.0,7.9,20,1,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7,1.0,0.3,1.0,0.2145999999999999,0.1903999999999999,0.175,10.33,43.9,44.1,5.13,1.23274
Bradley Beal,2024-12-05,34,24,4,4,2,0.0,0.556,0.286,0.636,31.9,-7.8,7,1.0,94.0,122.0,13.6,21,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.0,0.3,1.5,0.2169,0.1619,0.175,10.62,39.4,44.7,4.5,1.11926
Bradley Beal,2024-12-07,34,15,5,4,0,0.0,0.278,0.0,0.363,29.6,-16.3,2,0.833,93.0,136.0,5.9,22,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.4,0.3,1.7,0.2447,0.1619,0.2583,13.580000000000002,48.7,58.3,5.09,0.952381
Bradley Beal,2024-12-08,35,18,4,2,1,2.0,0.667,0.5,0.699,21.7,-3.7,5,0.5,95.0,114.0,10.0,23,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.6,0.4,2.2,0.3114,0.2118999999999999,0.3083,15.75,58.2,69.7,6.09,1.03108
Bradley Beal,2024-12-13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24,0,1,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.7,1.6,0.4,2.2,0.3114,0.2118999999999999,0.3083,15.75,58.2,69.7,6.09,1.38388
Bradley Beal,2024-12-15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,25,1,1,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.7,1.6,0.4,2.2,0.3114,0.2118999999999999,0.3083,15.75,58.2,69.7,6.09,1.20995
Bradley Beal,2024-12-19,31,16,2,0,0,1.0,0.667,0.5,0.81,17.8,-3.0,3,1.0,112.0,124.0,10.0,26,1,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.6,0.4,2.5,0.3781,0.2618999999999999,0.4083,17.53,69.4,82.1,7.090000000000001,0.99367
Bradley Beal,2024-12-21,38,26,6,5,0,0.0,0.55,0.5,0.623,26.6,-4.2,2,0.5,121.0,138.0,18.9,27,1,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1.9,0.4,2.4,0.3664,0.2618999999999999,0.4583,17.38,69.7,85.5,7.479999999999999,1.14402
Bradley Beal,2024-12-23,35,23,0,2,1,0.0,0.529,0.714,0.676,25.2,2.2,2,0.0,113.0,130.0,14.7,28,0,1,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.1,0.5,2.4,0.3622,0.2833,0.4583,17.240000000000002,71.6,85.4,8.1,1.05252
