Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_PHI,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Tyrese Maxey,2024-10-23,39,25,6,3,1,1.0,0.323,0.222,0.382,34.7,-2.7,1,0.75,89.0,123.0,11.1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,3.0,1.0,1.0,0.323,0.222,0.75,34.7,89.0,123.0,11.1,0.0
Tyrese Maxey,2024-10-25,41,24,2,4,1,0.0,0.261,0.167,0.424,29.8,-6.2,1,0.833,95.0,119.0,10.9,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.5,4.0,3.5,1.0,1.0,0.292,0.1945,0.7915,32.25,92.0,121.0,11.0,1.30066
Tyrese Maxey,2024-10-27,48,45,4,4,1,2.0,0.438,0.294,0.583,36.7,8.3,5,0.8,122.0,106.0,27.2,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.33333333333333,4.0,3.6666666666666665,1.0,2.333333333333333,0.3406666666666667,0.2276666666666666,0.7943333333333333,33.733333333333334,102.0,116.0,16.400000000000002,1.2407
Tyrese Maxey,2024-10-30,40,32,3,7,2,0.0,0.48,0.2,0.57,34.7,9.1,1,0.857,120.0,116.0,24.5,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,3.75,4.5,1.25,2.0,0.3755,0.22075,0.81,33.975,106.5,116.0,18.425,1.07847
Tyrese Maxey,2024-11-02,37,23,2,6,3,0.0,0.421,0.444,0.566,26.7,1.4,3,1.0,108.0,122.0,16.9,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,3.4,4.8,1.6,2.2,0.3846,0.2653999999999999,0.8480000000000001,32.52,106.8,117.2,18.12,0.93067
Tyrese Maxey,2024-11-04,41,32,3,2,1,1.0,0.545,0.429,0.686,24.9,4.3,0,0.667,136.0,124.0,23.8,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.166666666666668,3.333333333333333,4.333333333333333,1.5,1.8333333333333333,0.4113333333333333,0.2926666666666667,0.8178333333333333,31.25,111.66666666666669,118.33333333333331,19.066666666666663,0.91219
Tyrese Maxey,2024-11-06,32,12,1,1,1,0.0,0.385,0.167,0.446,24.7,-13.0,3,1.0,82.0,126.0,2.7,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.571428571428573,3.0,3.857142857142857,1.4285714285714286,2.0,0.4075714285714285,0.2747142857142857,0.8438571428571429,30.314285714285717,107.42857142857144,119.42857142857144,16.728571428571428,1.09416
Tyrese Maxey,2024-11-08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.125,2.625,3.375,1.25,1.75,0.3566249999999999,0.240375,0.738375,26.525,94.0,104.5,14.6375,1.21917
Tyrese Maxey,2024-11-10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.444444444444443,2.333333333333333,3.0,1.1111111111111112,1.5555555555555556,0.3169999999999999,0.2136666666666666,0.6563333333333333,23.577777777777776,83.55555555555556,92.88888888888889,13.011111111111113,0.854129
Tyrese Maxey,2024-11-12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,2.1,2.7,1.0,1.4,0.2853,0.1923,0.5907,21.22,75.2,83.6,11.71,1.27721
Tyrese Maxey,2024-11-13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,1.5,2.4,0.9,1.3,0.253,0.1701,0.5157,17.75,66.3,71.3,10.6,1.06103
Tyrese Maxey,2024-11-15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1.3,2.0,0.8,1.2,0.2269,0.1534,0.4324,14.77,56.8,59.4,9.51,0.910586
Tyrese Maxey,2024-11-18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.9,1.6,0.7,0.7,0.1830999999999999,0.124,0.3524,11.1,44.6,48.8,6.789999999999999,1.24607
Tyrese Maxey,2024-11-20,20,8,3,2,1,0.0,0.231,0.0,0.288,32.6,-15.6,1,1.0,71.0,121.0,2.0,14,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.9,1.1,0.6,0.7,0.1582,0.104,0.3666999999999999,10.89,39.7,49.3,4.54,1.02878
Tyrese Maxey,2024-11-22,26,26,4,5,4,0.0,0.647,0.5,0.745,28.0,24.6,0,1.0,165.0,98.0,26.8,15,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,1.1,1.0,0.7,0.4,0.1808,0.1096,0.3666999999999999,11.02,45.4,46.9,5.529999999999999,1.14158
Tyrese Maxey,2024-11-24,30,17,4,4,2,0.0,0.385,0.5,0.576,22.7,2.7,1,1.0,122.0,127.0,14.1,16,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,1.2,1.2,0.8,0.5,0.1648,0.1167,0.4,10.8,44.0,47.2,4.5600000000000005,0.862745
Tyrese Maxey,2024-11-27,45,39,2,10,5,0.0,0.412,0.5,0.539,38.7,10.0,4,1.0,111.0,109.0,27.8,17,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.3,2.1,1.2,0.6,0.1675,0.15,0.4,12.2,46.9,45.5,7.069999999999999,1.006
Tyrese Maxey,2024-11-30,35,28,4,6,2,0.0,0.458,0.5,0.563,32.8,6.3,2,0.5,119.0,98.0,19.8,18,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,1.7,2.7,1.4,0.8,0.2133,0.2,0.45,15.48,58.8,55.3,9.05,1.04087
Tyrese Maxey,2024-12-03,37,21,3,7,2,1.0,0.313,0.143,0.504,27.8,0.7,1,0.909,118.0,114.0,18.5,19,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,2.0,3.4,1.6,0.9,0.2446,0.2143,0.5408999999999999,18.26,70.6,66.7,10.9,1.07619
Tyrese Maxey,2024-12-04,38,16,4,6,2,0.0,0.368,0.0,0.402,28.5,-8.1,4,1.0,87.0,118.0,8.5,20,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,2.4,4.0,1.8,1.3,0.2814,0.2143,0.6409,21.11,79.3,78.5,11.75,1.12886
Tyrese Maxey,2024-12-06,35,16,2,2,3,0.0,0.294,0.143,0.398,26.6,-4.2,1,0.714,88.0,97.0,8.1,21,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,2.6,4.2,2.1,1.4,0.3108,0.2286,0.7123,23.77,88.1,88.2,12.56,1.09091
Tyrese Maxey,2024-12-08,42,25,11,14,1,0.0,0.455,0.25,0.546,25.6,5.7,3,1.0,118.0,100.0,23.5,22,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,3.7,5.6,2.2,1.7,0.3563,0.2536,0.8122999999999999,26.33,99.9,98.2,14.91,1.25475
Tyrese Maxey,2024-12-13,37,22,3,2,1,1.0,0.467,0.6,0.608,27.6,-4.6,6,0.714,95.0,124.0,10.3,23,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,4.0,5.8,2.3,2.3,0.403,0.3136,0.8836999999999999,29.09,109.4,110.6,15.94,1.08406
Tyrese Maxey,2024-12-16,40,40,5,5,4,0.0,0.429,0.5,0.593,40.0,4.7,4,0.769,118.0,103.0,28.2,24,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.2,6.1,2.6,2.6,0.4227999999999999,0.3636,0.8606,29.829999999999995,114.1,108.8,18.56,1.01466
Tyrese Maxey,2024-12-20,38,23,4,6,1,1.0,0.5,0.364,0.609,25.1,1.2,2,0.5,118.0,112.0,18.3,25,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,4.2,6.2,2.3,2.8,0.4080999999999999,0.35,0.8106,29.54,109.4,110.2,17.71,1.17957
Tyrese Maxey,2024-12-21,33,27,1,3,1,0.0,0.381,0.5,0.551,33.8,6.8,1,0.75,117.0,136.0,17.1,26,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,3.9,6.1,2.2,2.8,0.4077,0.35,0.7856,30.65,108.9,111.1,18.009999999999998,0.96099
Tyrese Maxey,2024-12-23,41,32,10,8,3,0.0,0.48,0.455,0.588,29.1,11.7,1,0.6,124.0,100.0,28.7,27,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,4.7,5.9,2.0,2.5,0.4145,0.3455,0.7455999999999999,29.69,110.2,110.2,18.1,0.92236
