Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MEM,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Ja Morant,28,22,5,10,1,0.0,0.583,0.0,0.689,27.6,6.6,3,0.889,138.0,118.0,20.9,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,5.0,10.0,1.0,3.0,0.583,0.0,0.889,27.6,138.0,118.0,20.9,0.0,0,2024,10,23,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Ja Morant,24,24,0,2,0,0.0,0.471,0.5,0.573,43.2,-4.4,6,0.667,89.0,130.0,9.1,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.5,6.0,0.5,4.5,0.5269999999999999,0.25,0.778,35.400000000000006,113.5,124.0,15.0,1.08428,1,2024,10,25,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Ja Morant,25,16,2,10,0,1.0,0.333,0.0,0.515,31.4,-1.3,3,1.0,114.0,112.0,13.3,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,2.333333333333333,7.333333333333333,0.3333333333333333,4.0,0.4623333333333333,0.1666666666666666,0.852,34.06666666666667,113.66666666666669,120.0,14.433333333333332,0.996792,2,2024,10,26,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Ja Morant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,1.75,5.5,0.25,3.0,0.34675,0.125,0.639,25.55,85.25,90.0,10.825,0.970419,3,2024,10,28,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Ja Morant,29,14,8,11,0,0.0,0.313,0.167,0.394,32.4,-5.8,5,0.75,92.0,122.0,9.1,5,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,3.0,6.6,0.2,3.4,0.3399999999999999,0.1334,0.6612,26.92,86.6,96.4,10.48,1.32019,4,2024,10,30,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Ja Morant,29,26,10,14,1,0.0,0.563,0.4,0.681,32.6,19.8,3,0.857,139.0,94.0,29.2,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.166666666666667,7.833333333333333,0.3333333333333333,3.333333333333333,0.3771666666666666,0.1778333333333333,0.6938333333333334,27.866666666666664,95.33333333333331,96.0,13.6,1.12397,5,2024,10,31,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
Ja Morant,31,18,6,12,2,0.0,0.462,0.0,0.545,30.4,-0.7,6,0.75,107.0,105.0,16.3,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.142857142857142,4.428571428571429,8.428571428571429,0.5714285714285714,3.7142857142857135,0.3892857142857143,0.1524285714285714,0.7018571428571428,28.228571428571428,97.0,97.28571428571428,13.985714285714286,1.1245,6,2024,11,2,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Ja Morant,33,25,5,9,0,0.0,0.455,0.333,0.526,35.3,4.0,3,1.0,116.0,119.0,18.8,8,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.125,4.5,8.5,0.5,3.625,0.3974999999999999,0.175,0.739125,29.1125,99.375,100.0,14.5875,1.07573,7,2024,11,4,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Ja Morant,24,20,4,5,1,1.0,0.412,0.667,0.521,39.7,-3.5,5,0.8,97.0,107.0,11.1,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.33333333333333,4.444444444444445,8.11111111111111,0.5555555555555556,3.7777777777777777,0.3991111111111111,0.2296666666666666,0.7458888888888889,30.28888888888889,99.11111111111111,100.77777777777776,14.2,1.12045,8,2024,11,6,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Ja Morant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.5,4.0,7.3,0.5,3.4,0.3592,0.2067,0.6713,27.26,89.2,90.7,12.78,1.17855,9,2024,11,8,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Ja Morant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.3,3.5,6.3,0.4,3.1,0.3009,0.2067,0.5824,24.5,75.4,78.9,10.69,1.14906,10,2024,11,10,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Ja Morant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,3.5,6.1,0.4,2.5,0.2538,0.1567,0.5157,20.18,66.5,65.9,9.78,1.06874,11,2024,11,13,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Ja Morant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,3.3,5.1,0.4,2.2,0.2205,0.1567,0.4157,17.04,55.1,54.7,8.45,1.12921,12,2024,11,15,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Ja Morant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,3.3,5.1,0.4,2.2,0.2205,0.1567,0.4157,17.04,55.1,54.7,8.45,1.07006,13,2024,11,17,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Ja Morant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,2.5,4.0,0.4,1.7,0.1891999999999999,0.14,0.3407,13.8,45.9,42.5,7.540000000000001,1.05342,14,2024,11,19,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Ja Morant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,1.5,2.6,0.3,1.4,0.1329,0.1,0.255,10.54,32.0,33.1,4.62,1.02601,15,2024,11,20,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Ja Morant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.9,1.4,0.1,0.8,0.0867,0.1,0.18,7.5,21.3,22.6,2.99,1.09417,16,2024,11,23,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Ja Morant,23,22,2,11,0,1.0,0.5,0.667,0.671,31.7,17.3,2,0.8,149.0,107.0,22.2,18,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,0.6,1.6,0.1,0.7,0.0911999999999999,0.1334,0.16,7.140000000000001,24.6,21.4,3.33,0.957967,17,2024,11,25,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Ja Morant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.2,1.1,0.0,0.2,0.0499999999999999,0.0667,0.08,3.17,14.9,10.7,2.22,1.02841,18,2024,11,27,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Ja Morant,29,27,3,7,3,0.0,0.556,0.0,0.64,36.7,7.0,5,1.0,114.0,102.0,21.8,20,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.5,1.8,0.3,0.7,0.1056,0.0667,0.18,6.840000000000001,26.3,20.9,4.4,1.12106,19,2024,11,29,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Ja Morant,27,19,2,8,1,1.0,0.462,0.286,0.607,24.4,7.4,0,0.833,142.0,114.0,19.0,21,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.7,2.6,0.4,0.7,0.1518,0.0953,0.2633,9.28,40.5,32.3,6.3,1.27654,20,2024,12,1,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Ja Morant,31,31,2,4,3,0.0,0.5,0.5,0.618,38.9,5.6,6,0.857,104.0,112.0,19.6,22,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.9,3.0,0.7,1.3,0.2017999999999999,0.1453,0.349,13.169999999999998,50.9,43.5,8.260000000000002,1.25164,21,2024,12,3,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Ja Morant,28,8,3,7,0,1.0,0.154,0.0,0.271,24.9,-9.1,2,1.0,84.0,112.0,4.2,23,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.7,1.2,3.7,0.7,1.5,0.2172,0.1453,0.449,15.66,59.3,54.7,8.680000000000001,1.10187,22,2024,12,5,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Ja Morant,34,32,9,9,2,0.0,0.55,0.667,0.693,31.4,12.2,3,0.857,137.0,111.0,29.2,24,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,2.1,4.6,0.9,1.8,0.2722,0.212,0.5347,18.8,73.0,65.8,11.6,1.08992,23,2024,12,7,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Ja Morant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,25,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.9,2.1,4.6,0.9,1.8,0.2722,0.212,0.5347,18.8,73.0,65.8,11.6,1.0697,24,2024,12,8,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Ja Morant,32,28,7,10,1,0.0,0.526,0.5,0.622,31.5,6.9,3,0.625,130.0,113.0,24.6,26,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,2.8,5.6,1.0,2.1,0.3248,0.262,0.5972,21.95,86.0,77.1,14.06,1.2369,25,2024,12,13,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Ja Morant,31,20,7,6,3,0.0,0.286,0.286,0.408,37.0,-1.6,7,0.75,80.0,101.0,8.8,27,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,3.5,6.2,1.3,2.8,0.3534,0.2906,0.6721999999999999,25.65,94.0,87.2,14.94,0.958143,26,2024,12,15,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Ja Morant,17,9,3,3,2,2.0,0.444,0.2,0.5,22.7,7.2,1,0.0,120.0,79.0,9.7,28,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,3.6,5.4,1.5,2.7,0.3478,0.2439,0.5922000000000001,24.75,91.1,84.4,13.69,1.37434,27,2024,12,19,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
